,Unnamed: 0,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire Alarm
58020,58020,1655125442,-8.048,41.59,115,412,12768,20612,937.505,1.73,1.79,11.88,1.852,0.042,1134,0
59466,59466,1655126888,8.862,46.72,172,446,12764,20541,937.302,1.61,1.67,11.08,1.728,0.039,2580,0
13978,13978,1654747309,17.829,53.37,1141,504,12847,19449,938.919,1.73,1.8,11.93,1.86,0.042,13978,1
13289,13289,1654746620,20.442,46.86,1074,522,12846,19454,938.916,1.79,1.86,12.33,1.923,0.043,13289,1
59218,59218,1655126640,-1.912,41.42,135,400,12791,20578,937.336,1.96,2.04,13.5,2.106,0.048,2332,0
2298,2298,1654735629,19.718,54.13,27,400,13193,20120,939.605,1.06,1.1,7.29,1.137,0.026,2298,0
11265,11265,1654744596,9.277,49.73,1096,655,12790,19451,939.081,2.08,2.16,14.33,2.234,0.05,11265,1
2508,2508,1654735839,17.454,48.73,59,400,13199,20132,939.624,1.0,1.04,6.91,1.077,0.024,2508,0
60113,60113,1655127535,17.511,42.31,182,413,12774,20543,937.36,1.62,1.68,11.15,1.739,0.039,3227,0
61118,61118,1655128540,19.797,33.28,11896,497,12764,19203,936.906,0.4,0.42,2.78,0.434,0.01,4232,0
17674,17674,1654751005,16.885,49.66,1218,426,12897,19424,938.704,1.54,1.59,10.57,1.648,0.037,17674,1
1557,1557,1654734888,25.677,48.73,8,400,13116,20015,939.663,0.58,0.61,4.03,0.628,0.014,1557,0
4797,4797,1654738128,-7.326,54.37,37,400,13247,20180,939.641,2.36,2.46,16.26,2.536,0.057,4797,1
59553,59553,1655126975,12.996,45.23,144,409,12776,20571,937.372,2.16,2.25,14.88,2.32,0.052,2667,0
53895,53895,1654714940,27.53,42.05,167,441,12767,20555,937.356,1.74,1.81,11.96,1.866,0.042,2753,0
62055,62055,1655129477,-18.863,19.84,60000,14366,11158,16233,936.804,11122.22,22849.56,48173.3,25444.312,11232.57,5169,0
52380,52380,1654713425,28.86,41.34,76,400,12790,20659,937.505,2.33,2.42,16.05,2.503,0.057,1238,0
2606,2606,1654735937,16.339,47.93,59,400,13202,20117,939.638,1.08,1.12,7.4,1.154,0.026,2606,0
4404,4404,1654737735,-4.44,47.99,96,400,13233,20120,939.647,2.15,2.24,14.81,2.309,0.052,4404,1
54639,54639,1654715684,25.5,45.36,0,400,13167,20951,937.478,1.9,1.97,13.08,2.039,0.046,3497,0
19945,19945,1654753276,17.124,47.68,1155,400,12939,19440,938.743,1.69,1.75,11.62,1.812,0.041,19945,1
21337,21337,1654754668,-2.581,51.42,1320,400,12952,19389,938.712,1.94,2.02,13.36,2.083,0.047,21337,1
59496,59496,1655126918,10.318,44.01,150,413,12779,20562,937.342,1.74,1.81,11.97,1.866,0.042,2610,0
20404,20404,1654753735,12.027,51.27,1241,400,12961,19428,938.748,2.11,2.19,14.51,2.262,0.051,20404,1
52933,52933,1654713978,28.95,41.15,129,408,12790,20591,937.413,2.02,2.1,13.89,2.165,0.049,1791,0
59655,59655,1655127077,17.166,48.32,159,434,12771,20566,937.348,1.66,1.72,11.39,1.777,0.04,2769,0
2213,2213,1654735544,20.576,49.09,11,400,13192,20104,939.596,0.82,0.86,5.68,0.885,0.02,2213,0
26985,26985,1654763334,16.89,53.04,74,400,13114,19983,939.625,0.65,0.67,4.46,0.695,0.016,1991,0
13967,13967,1654747298,17.882,52.71,1088,497,12851,19450,938.922,2.04,2.12,14.06,2.192,0.05,13967,1
21328,21328,1654754659,-2.432,47.49,1327,408,12956,19394,938.681,2.06,2.14,14.19,2.214,0.05,21328,1
51916,51916,1654712961,27.52,41.24,96,459,12765,20663,937.526,2.02,2.09,13.87,2.163,0.049,774,0
10512,10512,1654743843,1.174,55.36,979,700,12777,19485,939.109,2.02,2.1,13.93,2.173,0.049,10512,1
12953,12953,1654746284,20.852,53.03,1107,547,12838,19455,938.902,2.1,2.18,14.42,2.249,0.051,12953,1
21329,21329,1654754660,-2.448,47.45,1277,404,12954,19399,938.686,2.09,2.17,14.35,2.238,0.051,21329,1
5258,5258,1654738589,-9.066,52.33,2,400,13257,20218,939.699,3.0,3.12,20.67,3.223,0.073,5258,1
55713,55713,1654716758,53.85,19.2,32989,732,12641,18733,936.872,0.83,0.86,5.71,0.891,0.02,4571,0
1582,1582,1654734913,25.542,55.34,16,400,13119,20004,939.624,0.65,0.68,4.48,0.699,0.016,1582,0
3508,3508,1654736839,5.279,52.71,303,400,13122,19909,939.668,1.24,1.29,8.54,1.332,0.03,3508,1
1144,1144,1654734475,27.055,51.81,12,400,13068,19957,939.742,0.37,0.39,2.55,0.398,0.009,1144,0
22265,22265,1654755596,-16.42,50.99,1316,400,12970,19396,938.708,1.98,2.06,13.65,2.128,0.048,22265,1
58088,58088,1655125510,-9.015,45.82,97,401,12781,20641,937.477,2.08,2.16,14.31,2.232,0.05,1202,0
12913,12913,1654746244,20.846,47.89,1051,536,12845,19476,938.915,1.89,1.96,13.0,2.027,0.046,12913,1
54499,54499,1654715544,26.6,45.8,216,446,12758,20497,937.431,1.77,1.84,12.18,1.9,0.043,3357,0
55980,55980,1654717025,45.49,26.05,28168,472,12781,18856,936.84,22.92,23.82,157.77,24.603,0.556,4838,0
58262,58262,1655125684,-8.627,43.64,100,413,12778,20627,937.459,1.82,1.89,12.54,1.956,0.044,1376,0
25029,25029,1654761378,11.23,53.12,3,413,12490,19541,939.754,0.09,0.31,0.07,0.359,0.215,35,0
57703,57703,1655125125,4.698,41.07,91,410,12784,20665,937.561,2.08,2.16,14.3,2.23,0.05,817,0
1371,1371,1654734702,26.504,50.04,0,400,13103,20002,939.708,0.35,0.37,2.43,0.379,0.009,1371,0
22464,22464,1654755795,-18.567,47.84,1350,400,12969,19392,938.757,2.24,2.33,15.42,2.405,0.054,22464,1
52287,52287,1654713332,26.37,46.32,90,401,12776,20637,937.462,2.0,2.07,13.74,2.143,0.048,1145,0
2616,2616,1654735947,16.224,46.76,68,400,13203,20109,939.642,0.87,0.91,6.01,0.938,0.021,2616,0
1501,1501,1654734832,25.96,48.95,0,400,13127,20028,939.679,0.41,0.42,2.81,0.439,0.01,1501,0
11329,11329,1654744660,9.991,52.34,1028,633,12802,19474,939.089,1.91,1.99,13.15,2.051,0.046,11329,1
57825,57825,1655125247,-1.38,41.02,70,400,12788,20686,937.54,1.78,1.85,12.24,1.908,0.043,939,0
11245,11245,1654744576,9.054,48.43,1028,630,12807,19476,939.097,2.49,2.59,17.13,2.671,0.06,11245,1
57512,57512,1655124934,14.953,43.82,46,400,12832,20717,937.499,2.25,2.34,15.49,2.415,0.055,626,0
27369,27369,1654763718,20.12,47.86,21,400,13214,20133,939.597,1.06,1.1,7.3,1.139,0.026,2375,0
2106,2106,1654735437,21.602,52.95,17,400,13139,20041,939.642,0.83,0.86,5.71,0.891,0.02,2106,0
23618,23618,1654756949,-19.669,52.1,1402,415,12969,19376,938.71,1.5,1.56,10.35,1.614,0.036,23618,1
56752,56752,1654717797,50.6,13.73,1297,400,13674,20336,936.674,0.71,0.74,4.92,0.767,0.017,5610,0
57509,57509,1655124931,15.108,46.75,25,400,12839,20730,937.492,2.2,2.29,15.16,2.364,0.053,623,0
6987,6987,1654740318,-5.367,49.6,218,400,13144,20048,939.587,0.48,0.5,3.31,0.517,0.012,6987,1
53907,53907,1654714952,26.09,47.82,159,435,12771,20564,937.354,1.49,1.55,10.24,1.596,0.036,2765,0
17355,17355,1654750686,15.56,48.11,1163,400,12905,19443,938.759,1.78,1.85,12.24,1.908,0.043,17355,1
4793,4793,1654738124,-7.303,54.11,22,400,13255,20196,939.658,2.31,2.4,15.93,2.484,0.056,4793,1
25817,25817,1654762166,15.26,50.74,0,400,12978,19913,939.786,0.08,0.08,0.56,0.087,0.002,823,0
27341,27341,1654763690,17.67,53.26,21,400,13206,20135,939.562,0.99,1.03,6.85,1.068,0.024,2347,0
54033,54033,1654715078,25.91,48.47,175,429,12773,20537,937.419,1.85,1.93,12.76,1.989,0.045,2891,0
54897,54897,1654715942,27.2,38.96,0,400,13462,21296,937.399,2.07,2.15,14.26,2.224,0.05,3755,0
56234,56234,1654717279,53.76,21.96,60000,10704,11336,16055,936.799,3806.66,6654.17,19417.89,7313.689,2712.357,5092,0
3720,3720,1654737051,2.722,54.23,253,400,13148,19962,939.708,1.34,1.39,9.19,1.433,0.032,3720,1
26992,26992,1654763341,16.76,53.65,78,400,13116,19974,939.611,0.62,0.64,4.25,0.662,0.015,1998,0
25843,25843,1654762192,12.77,56.56,13,400,12981,19908,939.769,0.23,0.24,1.57,0.245,0.006,849,0
20980,20980,1654754311,3.344,52.24,1354,422,12946,19381,938.688,1.91,1.98,13.14,2.05,0.046,20980,1
60841,60841,1655128263,15.008,65.2,843,400,13259,20406,937.076,0.87,0.9,5.98,0.932,0.021,3955,0
18227,18227,1654751558,19.155,53.11,1155,400,12910,19438,938.704,1.7,1.77,11.71,1.826,0.041,18227,1
54441,54441,1654715486,26.46,46.65,196,427,12767,20518,937.406,1.68,1.75,11.58,1.807,0.041,3299,0
51160,51160,1654712205,26.95,44.73,10,437,12868,20767,937.581,2.05,2.13,14.13,2.203,0.05,18,0
6947,6947,1654740278,-5.493,55.68,225,400,13139,20040,939.605,0.7,0.73,4.82,0.751,0.017,6947,1
54080,54080,1654715125,26.5,46.11,188,438,12765,20537,937.424,1.97,2.05,13.59,2.119,0.048,2938,0
14200,14200,1654747531,16.735,51.73,1103,483,12854,19454,938.906,1.98,2.06,13.66,2.13,0.048,14200,1
14847,14847,1654748178,13.735,47.12,1088,456,12865,19460,938.85,1.71,1.78,11.76,1.834,0.041,14847,1
56599,56599,1654717644,53.87,12.64,3336,400,13492,19831,936.686,0.8,0.83,5.5,0.857,0.019,5457,0
58301,58301,1655125723,-8.165,41.75,82,400,12799,20646,937.465,1.94,2.02,13.38,2.087,0.047,1415,0
11020,11020,1654744351,6.53,48.01,1005,641,12799,19477,939.091,2.36,2.45,16.23,2.53,0.057,11020,1
55985,55985,1654717030,45.66,27.39,30486,555,12739,18824,936.805,23.85,24.77,164.12,25.592,0.578,4843,0
60699,60699,1655128121,13.063,39.39,0,400,13417,21290,937.366,1.83,1.9,12.57,1.959,0.044,3813,0
51623,51623,1654712668,26.95,44.76,60,400,12829,20717,937.519,2.27,2.36,15.65,2.44,0.055,481,0
57773,57773,1655125195,1.096,40.55,84,400,12790,20679,937.551,2.12,2.2,14.58,2.273,0.051,887,0
56067,56067,1654717112,46.13,30.05,60000,5835,11572,16927,936.858,1918.91,1993.67,13207.07,2059.485,46.516,4925,0
3523,3523,1654736854,5.095,57.17,332,400,13108,19879,939.685,1.17,1.21,8.03,1.252,0.028,3523,1
6365,6365,1654739696,-7.502,51.98,181,400,13168,20094,939.649,0.85,0.88,5.82,0.908,0.021,6365,1
28008,28008,1654764357,20.88,46.65,177,400,13147,20000,939.683,0.78,0.81,5.39,0.84,0.019,3014,0
15721,15721,1654749052,12.003,53.68,1105,409,12886,19445,938.803,1.89,1.96,13.0,2.028,0.046,15721,1
23568,23568,1654756899,-20.137,53.67,1415,419,12965,19385,938.711,1.78,1.85,12.24,1.909,0.043,23568,1
5921,5921,1654739252,-8.783,54.29,86,400,13219,20182,939.634,1.91,1.98,13.14,2.048,0.046,5921,1
51055,51055,1654904072,34.41,16.65,0,625,13217,20904,930.89,0.96,1.0,6.61,1.03,0.023,1067,1
18558,18558,1654751889,20.189,47.88,1191,404,12918,19434,938.719,1.44,1.49,9.89,1.542,0.035,18558,1
4342,4342,1654737673,-3.888,47.87,96,400,13236,20111,939.648,2.08,2.17,14.34,2.237,0.051,4342,1
26161,26161,1654762510,14.73,51.44,41,400,13041,19926,939.787,0.38,0.39,2.61,0.407,0.009,1167,0
14030,14030,1654747361,17.577,52.96,1120,496,12844,19450,938.905,1.53,1.59,10.55,1.646,0.037,14030,1
13186,13186,1654746517,20.647,52.49,1140,542,12836,19442,938.891,1.84,1.91,12.67,1.976,0.045,13186,1
55460,55460,1654716505,42.98,30.48,7715,400,12968,19478,936.862,0.36,0.37,2.45,0.382,0.009,4318,0
19158,19158,1654752489,20.716,47.93,1189,400,12923,19433,938.725,1.51,1.57,10.41,1.623,0.037,19158,1
11486,11486,1654744817,11.715,47.53,1073,626,12807,19459,939.097,2.36,2.45,16.24,2.533,0.057,11486,1
15866,15866,1654749197,12.01,47.29,1120,400,12885,19455,938.79,1.53,1.59,10.51,1.639,0.037,15866,1
5240,5240,1654738571,-9.033,48.79,5,400,13266,20229,939.71,2.9,3.01,19.93,3.108,0.07,5240,1
14977,14977,1654748308,13.268,51.06,1086,450,12861,19450,938.809,1.8,1.87,12.36,1.927,0.044,14977,1
1338,1338,1654734669,26.617,54.56,0,400,13100,19997,939.726,0.53,0.55,3.62,0.564,0.013,1338,0
16119,16119,1654749450,12.195,51.75,1138,408,12876,19437,938.765,1.93,2.0,13.26,2.068,0.047,16119,1
58230,58230,1655125652,-8.93,46.56,66,400,12798,20656,937.47,2.24,2.33,15.45,2.409,0.054,1344,0
20731,20731,1654754062,7.308,46.59,1201,400,12974,19425,938.691,2.51,2.61,17.27,2.692,0.061,20731,1
6144,6144,1654739475,-8.206,49.01,153,400,13188,20112,939.659,1.3,1.36,8.98,1.4,0.032,6144,1
21820,21820,1654755151,-10.352,52.43,1362,408,12959,19400,938.725,1.56,1.62,10.73,1.673,0.038,21820,1
13359,13359,1654746690,20.268,51.34,1207,541,12833,19432,938.904,2.09,2.17,14.38,2.242,0.051,13359,1
56272,56272,1654717317,56.66,18.29,60000,28033,10835,15622,936.778,12249.22,28785.64,43957.32,32352.879,15885.406,5130,0
21467,21467,1654754798,-4.736,53.23,1335,401,12954,19390,938.732,1.72,1.78,11.82,1.843,0.042,21467,1
7137,7137,1654740468,-4.931,56.64,249,400,13131,20016,939.523,0.51,0.53,3.53,0.55,0.012,7137,1
5721,5721,1654739052,-9.133,49.19,32,400,13258,20228,939.656,2.55,2.65,17.55,2.737,0.062,5721,1
14905,14905,1654748236,13.518,47.2,1088,444,12871,19455,938.808,1.77,1.84,12.2,1.902,0.043,14905,1
25459,25459,1654761808,13.79,52.56,7,400,12770,19784,939.835,0.22,0.25,1.42,0.268,0.033,465,0
26323,26323,1654762672,15.39,51.17,20,400,13079,19969,939.724,0.51,0.53,3.51,0.547,0.012,1329,0
3875,3875,1654737206,0.928,46.8,188,400,13191,20022,939.681,2.25,2.34,15.48,2.414,0.055,3875,1
17040,17040,1654750371,14.391,53.79,1170,408,12886,19429,938.814,1.71,1.78,11.8,1.84,0.042,17040,1
839,839,1654734170,26.898,54.11,14,400,12973,19906,939.778,0.17,0.18,1.19,0.186,0.004,839,0
51894,51894,1654712939,28.9,41.58,55,426,12790,20695,937.537,1.93,2.01,13.3,2.074,0.047,752,0
56655,56655,1654717700,51.78,13.55,1852,400,13655,20200,936.672,0.98,1.01,6.72,1.048,0.024,5513,0
59021,59021,1655126443,-5.153,42.3,110,400,12792,20609,937.33,1.81,1.89,12.49,1.947,0.044,2135,0
17176,17176,1654750507,14.875,47.99,1159,400,12899,19438,938.773,1.6,1.67,11.03,1.72,0.039,17176,1
13873,13873,1654747204,18.324,47.88,1094,493,12850,19448,938.919,2.02,2.1,13.94,2.173,0.049,13873,1
51391,51391,1654712436,26.91,45.19,54,415,12836,20724,937.572,1.92,1.99,13.2,2.058,0.046,249,0
5482,5482,1654738813,-9.274,48.77,27,400,13251,20207,939.725,2.16,2.24,14.85,2.316,0.052,5482,1
20092,20092,1654753423,15.732,53.81,1199,400,12934,19432,938.724,1.38,1.44,9.51,1.483,0.034,20092,1
58121,58121,1655125543,-9.22,41.69,80,400,12793,20662,937.498,2.18,2.26,15.0,2.339,0.053,1235,0
53128,53128,1654714173,26.05,47.11,138,415,12779,20584,937.348,1.93,2.01,13.3,2.073,0.047,1986,0
18388,18388,1654751719,19.706,47.35,1231,401,12913,19425,938.721,1.91,1.99,13.17,2.053,0.046,18388,1
59212,59212,1655126634,-2.098,41.63,143,404,12790,20579,937.331,1.9,1.98,13.09,2.041,0.046,2326,0
22080,22080,1654755411,-14.081,54.17,1387,407,12957,19380,938.71,1.77,1.84,12.22,1.905,0.043,22080,1
10544,10544,1654743875,1.483,48.95,973,681,12781,19491,939.1,2.22,2.31,15.27,2.382,0.054,10544,1
61252,61252,1655128674,20.793,26.72,12903,480,12769,19138,936.92,0.81,0.84,5.55,0.866,0.02,4366,0
58315,58315,1655125737,-7.979,40.88,49,400,12798,20685,937.468,1.8,1.87,12.39,1.932,0.044,1429,0
56130,56130,1654717175,48.9,24.11,60000,8811,11425,16588,936.863,5688.21,6230.18,38344.81,6488.047,448.832,4988,0
2138,2138,1654735469,21.302,47.96,2,400,13169,20072,939.651,1.02,1.06,7.05,1.1,0.025,2138,0
61456,61456,1655128878,17.595,18.45,32371,737,12632,18741,936.882,0.78,0.81,5.35,0.834,0.019,4570,0
17665,17665,1654750996,16.847,47.43,1120,400,12908,19452,938.719,1.72,1.79,11.85,1.847,0.042,17665,1
5400,5400,1654738731,-9.24,55.17,5,400,13276,20237,939.734,2.22,2.31,15.31,2.387,0.054,5400,1
19955,19955,1654753286,17.037,50.56,1228,415,12922,19429,938.765,1.71,1.77,11.74,1.831,0.041,19955,1
12474,12474,1654745805,19.86,53.04,1111,568,12824,19444,939.004,2.35,2.44,16.19,2.525,0.057,12474,1
4973,4973,1654738304,-8.217,54.36,44,400,13242,20175,939.694,2.34,2.44,16.14,2.516,0.057,4973,1
17036,17036,1654750367,14.377,53.6,1132,400,12894,19445,938.787,1.5,1.55,10.3,1.605,0.036,17036,1
11674,11674,1654745005,13.692,49.46,1059,629,12803,19469,939.059,1.9,1.97,13.06,2.037,0.046,11674,1
17530,17530,1654750861,16.274,48.85,1141,400,12901,19448,938.753,1.43,1.49,9.84,1.534,0.035,17530,1
2201,2201,1654735532,20.694,47.66,7,400,13188,20122,939.6,0.88,0.91,6.03,0.941,0.021,2201,0
61454,61454,1655128876,17.663,17.98,31104,722,12645,18769,936.891,0.7,0.73,4.84,0.754,0.017,4568,0
6294,6294,1654739625,-7.739,55.38,183,400,13159,20081,939.631,0.85,0.88,5.85,0.912,0.021,6294,1
22558,22558,1654755889,-19.427,54.14,1304,400,12963,19405,938.754,1.81,1.88,12.48,1.946,0.044,22558,1
15028,15028,1654748359,13.105,47.14,1109,444,12869,19448,938.822,2.02,2.1,13.92,2.17,0.049,15028,1
60475,60475,1655127897,12.044,38.48,0,400,13266,21249,937.473,1.7,1.76,11.69,1.823,0.041,3589,0
18192,18192,1654751523,19.026,48.49,1164,401,12915,19444,938.696,1.48,1.54,10.18,1.588,0.036,18192,1
26932,26932,1654763281,16.62,53.77,76,400,13116,19978,939.625,0.69,0.72,4.78,0.746,0.017,1938,0
5158,5158,1654738489,-8.848,54.81,47,400,13234,20177,939.692,2.17,2.26,14.96,2.333,0.053,5158,1
53478,53478,1654714523,26.65,44.26,143,416,12781,20572,937.327,1.95,2.03,13.44,2.096,0.047,2336,0
18341,18341,1654751672,19.553,52.4,1260,416,12901,19417,938.739,1.56,1.62,10.75,1.676,0.038,18341,1
19156,19156,1654752487,20.718,48.11,1193,400,12922,19429,938.734,1.49,1.54,10.23,1.595,0.036,19156,1
11360,11360,1654744691,10.335,48.41,1028,633,12800,19458,939.107,2.1,2.19,14.48,2.257,0.051,11360,1
61925,61925,1655129347,-11.973,24.57,60000,16633,11053,16074,936.826,10737.28,19121.86,53885.06,21051.254,7993.0,5039,0
50591,50591,1654903608,41.0,13.55,0,3348,12515,20304,930.957,0.75,0.78,5.18,0.808,0.018,603,1
10787,10787,1654744118,3.976,48.15,1055,686,12772,19459,939.071,2.05,2.13,14.14,2.205,0.05,10787,1
1884,1884,1654735215,23.511,54.34,73,400,13110,19985,939.616,0.78,0.81,5.39,0.841,0.019,1884,0
51468,51468,1654712513,28.77,43.13,39,400,12841,20739,937.557,1.99,2.07,13.73,2.141,0.048,326,0
61307,61307,1655128729,20.604,24.59,20472,657,12685,18943,936.874,0.71,0.74,4.9,0.763,0.017,4421,0
20437,20437,1654753768,11.584,51.0,1176,400,12975,19432,938.762,2.25,2.34,15.48,2.414,0.055,20437,1
18303,18303,1654751634,19.425,52.17,1132,400,12924,19453,938.698,1.61,1.68,11.11,1.733,0.039,18303,1
52133,52133,1654713178,28.7,42.08,74,400,12789,20674,937.551,2.21,2.3,15.23,2.374,0.054,991,0
7675,7675,1654741006,-4.091,49.8,278,400,13120,19988,939.435,0.46,0.47,3.15,0.491,0.011,7675,1
51751,51751,1654712796,26.54,46.05,86,404,12819,20670,937.497,2.2,2.29,15.15,2.362,0.053,609,0
13694,13694,1654747025,19.108,47.84,1117,500,12847,19454,938.893,2.07,2.15,14.22,2.218,0.05,13694,1
60792,60792,1655128214,14.25,46.48,402,844,12567,20743,936.999,1.75,1.82,12.04,1.877,0.042,3906,0
53727,53727,1654714772,26.09,47.77,161,429,12777,20563,937.316,1.5,1.56,10.36,1.615,0.036,2585,0
55104,55104,1654716149,26.06,70.61,912,400,13312,20397,937.077,0.79,0.82,5.44,0.848,0.019,3962,0
755,755,1654734086,26.656,52.23,0,400,12951,19892,939.768,0.26,0.27,1.79,0.279,0.006,755,0
53614,53614,1654714659,25.85,48.43,162,436,12774,20565,937.332,2.02,2.1,13.93,2.172,0.049,2472,0
6541,6541,1654739872,-6.89,54.69,175,400,13168,20087,939.619,0.62,0.64,4.25,0.663,0.015,6541,1
58715,58715,1655126137,-4.158,43.37,132,400,12794,20600,937.413,2.0,2.08,13.75,2.145,0.048,1829,0
57339,57339,1655124761,22.797,40.93,68,400,12832,20690,937.53,1.92,2.0,13.24,2.065,0.047,453,0
6405,6405,1654739736,-7.366,54.82,192,400,13159,20072,939.657,0.83,0.87,5.74,0.895,0.02,6405,1
28050,28050,1654764399,18.6,51.63,165,400,13161,20000,939.664,0.84,0.87,5.76,0.899,0.02,3056,0
21724,21724,1654755055,-8.874,51.59,1314,400,12967,19402,938.717,2.24,2.32,15.4,2.401,0.054,21724,1
18242,18242,1654751573,19.21,53.12,1086,400,12919,19455,938.689,2.16,2.24,14.86,2.317,0.052,18242,1
58527,58527,1655125949,-4.919,47.89,100,400,12779,20621,937.417,1.7,1.77,11.71,1.826,0.041,1641,0
15262,15262,1654748593,12.508,47.37,1124,434,12875,19457,938.837,1.69,1.76,11.65,1.816,0.041,15262,1
25276,25276,1654761625,11.05,56.85,6,400,12639,19698,939.767,0.19,0.29,1.05,0.31,0.094,282,0
2119,2119,1654735450,21.481,54.15,6,400,13154,20052,939.651,0.74,0.77,5.12,0.799,0.018,2119,0
12755,12755,1654746086,20.696,49.87,1143,586,12818,19438,938.956,1.79,1.86,12.35,1.926,0.044,12755,1
54461,54461,1654715506,25.81,49.19,212,440,12760,20499,937.408,1.29,1.34,8.9,1.388,0.031,3319,0
7410,7410,1654740741,-4.337,55.22,263,400,13124,20008,939.503,0.53,0.56,3.68,0.574,0.013,7410,1
12934,12934,1654746265,20.851,49.2,1117,559,12828,19439,938.886,1.89,1.97,13.03,2.032,0.046,12934,1
51190,51190,1654712235,30.04,38.45,16,436,12860,20771,937.573,2.04,2.11,14.01,2.185,0.049,48,0
25865,25865,1654762214,15.26,51.65,4,400,12995,19925,939.719,0.27,0.28,1.85,0.289,0.007,871,0
5466,5466,1654738797,-9.271,51.37,24,400,13250,20211,939.737,2.1,2.18,14.46,2.255,0.051,5466,1
3261,3261,1654736592,8.343,58.83,141,400,13221,20071,939.706,2.58,2.68,17.75,2.769,0.063,3261,1
62341,62341,1655129763,-18.296,12.59,3864,400,13453,19755,936.685,0.78,0.81,5.34,0.832,0.019,5455,0
509,509,1654733840,25.41,56.86,14,400,12781,19777,939.816,0.29,0.32,1.95,0.337,0.027,509,0
5296,5296,1654738627,-9.128,49.11,19,400,13255,20209,939.7,2.34,2.43,16.12,2.513,0.057,5296,1
21314,21314,1654754645,-2.198,48.4,1281,400,12964,19405,938.696,2.29,2.38,15.76,2.457,0.055,21314,1
52206,52206,1654713251,29.08,40.88,80,400,12788,20665,937.511,1.96,2.03,13.46,2.098,0.047,1064,0
59794,59794,1655127216,20.488,44.82,170,407,12781,20545,937.406,1.61,1.67,11.08,1.729,0.039,2908,0
23081,23081,1654756412,-21.992,52.74,1352,408,12970,19387,938.719,1.92,2.0,13.23,2.064,0.047,23081,1
23379,23379,1654756710,-21.416,52.32,1352,408,12964,19387,938.715,1.86,1.94,12.83,2.001,0.045,23379,1
5018,5018,1654738349,-8.399,51.7,53,400,13234,20159,939.69,2.33,2.42,16.02,2.498,0.056,5018,1
52955,52955,1654714000,25.92,47.54,151,413,12776,20568,937.405,2.22,2.31,15.27,2.381,0.054,1813,0
5943,5943,1654739274,-8.734,53.87,91,400,13221,20182,939.624,1.92,2.0,13.23,2.064,0.047,5943,1
11099,11099,1654744430,7.415,52.95,1023,644,12797,19470,939.085,2.29,2.38,15.78,2.461,0.056,11099,1
4168,4168,1654737499,-2.218,47.34,102,400,13243,20115,939.637,2.17,2.26,14.95,2.331,0.053,4168,1
22398,22398,1654755729,-17.902,48.15,1335,400,12970,19395,938.728,1.86,1.94,12.83,2.001,0.045,22398,1
19259,19259,1654752590,20.57,53.89,1208,402,12923,19434,938.696,1.49,1.55,10.27,1.601,0.036,19259,1
14467,14467,1654747798,15.412,49.27,1128,468,12861,19440,938.912,2.32,2.41,15.94,2.486,0.056,14467,1
27836,27836,1654764185,20.88,46.42,105,400,13188,20069,939.649,1.1,1.14,7.54,1.175,0.027,2842,0
10794,10794,1654744125,4.051,52.46,1000,670,12785,19474,939.072,2.2,2.28,15.12,2.357,0.053,10794,1
59772,59772,1655127194,20.198,48.02,187,442,12761,20525,937.419,1.7,1.76,11.68,1.822,0.041,2886,0
13057,13057,1654746388,20.808,50.82,1082,553,12829,19451,938.922,2.26,2.35,15.56,2.426,0.055,13057,1
3145,3145,1654736476,9.793,45.2,176,400,13150,19998,939.617,0.7,0.73,4.85,0.756,0.017,3145,0
52861,52861,1654713906,28.72,41.64,110,405,12785,20619,937.434,1.74,1.81,12.0,1.871,0.042,1719,0
26769,26769,1654763118,18.5,50.56,27,400,13137,20031,939.616,0.8,0.83,5.53,0.862,0.019,1775,0
57873,57873,1655125295,-3.456,43.62,75,400,12794,20672,937.54,2.2,2.29,15.15,2.363,0.053,987,0
23542,23542,1654756873,-20.358,47.99,1348,410,12974,19378,938.713,1.63,1.69,11.22,1.749,0.04,23542,1
22715,22715,1654756046,-20.616,50.69,1398,426,12958,19371,938.749,2.64,2.74,18.15,2.83,0.064,22715,1
62154,62154,1655129576,-21.666,11.2,60000,3639,11871,17350,936.742,3303.4,4198.61,20810.16,4462.115,824.104,5268,0
57833,57833,1655125255,-1.742,40.58,58,400,12790,20691,937.526,1.95,2.02,13.39,2.088,0.047,947,0
52007,52007,1654713052,28.22,44.99,66,400,12803,20686,937.553,1.93,2.01,13.31,2.075,0.047,865,0
7030,7030,1654740361,-5.236,51.02,231,400,13144,20041,939.55,0.45,0.47,3.09,0.482,0.011,7030,1
14500,14500,1654747831,15.254,51.71,1134,481,12857,19438,938.907,2.0,2.08,13.78,2.149,0.049,14500,1
54712,54712,1654715757,27.78,39.63,0,400,13318,21263,937.479,1.76,1.83,12.09,1.886,0.043,3570,0
3524,3524,1654736855,5.083,57.44,321,400,13109,19889,939.684,1.2,1.25,8.26,1.289,0.029,3524,1
54826,54826,1654715871,26.51,43.82,0,400,13402,21247,937.462,1.93,2.0,13.27,2.069,0.047,3684,0
5061,5061,1654738392,-8.556,48.64,45,400,13237,20168,939.669,1.98,2.05,13.6,2.121,0.048,5061,1
